person_id,name,gender,age,n_cases,districts,n_districts,mo_summary,case_ids,years
SYN-P-00018,Jack Dora,M,38,6,Bengaluru Urban; Kalaburagi; Mysuru; Tumakuru,4,ROBBERY x2; THEFT x2; MURDER x1; CHEATING x1,SYN-C-00007; SYN-C-00014; SYN-C-00019; SYN-C-00079; SYN-C-00081; SYN-C-00089,2019-2023
SYN-P-00081,Zayyan Dewan,M,49,6,Belagavi; Bengaluru Urban; Mysuru; Tumakuru,4,THEFT x5; CHEATING x1,SYN-C-00074; SYN-C-00207; SYN-C-00275; SYN-C-00308; SYN-C-00330; SYN-C-00334,2019-2023
SYN-P-00208,Zehaan Aurora,M,35,5,Belagavi; Bengaluru Urban; Kalaburagi; Mysuru,4,THEFT x2; BURGLARY - NIGHT x1; CHEATING x1; ROBBERY x1,SYN-C-00038; SYN-C-00085; SYN-C-00161; SYN-C-00167; SYN-C-00196,2020-2023
SYN-P-00226,Christopher Buch,M,37,7,Belagavi; Bengaluru Urban; Mysuru,3,THEFT x3; BURGLARY - NIGHT x2; CHEATING x1; ROBBERY x1,SYN-C-00041; SYN-C-00205; SYN-C-00227; SYN-C-00243; SYN-C-00247; SYN-C-00306; SYN-C-00395,2019-2023
SYN-P-00807,Simon Deshpande,M,36,7,Belagavi; Bengaluru Urban; Mysuru,3,THEFT x3; CHEATING x2; ROBBERY x1; BURGLARY - NIGHT x1,SYN-C-00005; SYN-C-00274; SYN-C-00346; SYN-C-00364; SYN-C-00368; SYN-C-00380; SYN-C-00385,2020-2023
SYN-P-01045,Upma Thaman,F,31,7,Bengaluru Urban; Mysuru; Tumakuru,3,THEFT x7,SYN-C-00124; SYN-C-00180; SYN-C-00233; SYN-C-00257; SYN-C-00345; SYN-C-00358; SYN-C-00413,2019-2023
SYN-P-00008,Gautam Kohli,M,32,6,Bengaluru Urban; Mysuru; Tumakuru,3,THEFT x4; ROBBERY x1; DACOITY x1,SYN-C-00178; SYN-C-00289; SYN-C-00335; SYN-C-00349; SYN-C-00378; SYN-C-00412,2019-2023
SYN-P-00485,Udarsh Iyer,M,44,6,Bengaluru Urban; Kalaburagi; Tumakuru,3,THEFT x5; ROBBERY x1,SYN-C-00181; SYN-C-00230; SYN-C-00236; SYN-C-00268; SYN-C-00295; SYN-C-00309,2020-2023
SYN-P-00493,Jagrati Dhar,F,31,6,Bengaluru Urban; Kalaburagi; Mysuru,3,THEFT x2; CHEATING x2; BURGLARY - NIGHT x1; ROBBERY x1,SYN-C-00027; SYN-C-00202; SYN-C-00314; SYN-C-00315; SYN-C-00326; SYN-C-00353,2019-2023
SYN-P-00874,Aayush Varma,M,35,6,Belagavi; Bengaluru Urban; Mysuru,3,THEFT x4; ROBBERY x1; CHEATING x1,SYN-C-00095; SYN-C-00251; SYN-C-00339; SYN-C-00356; SYN-C-00360; SYN-C-00391,2019-2023
