case_id,person_id,role,name_as_recorded,father_name_as_recorded,age_as_recorded,gender,district,year
SYN-C-00000,SYN-P-00130,accused,AVI KALA,EKAVIR SAGAR,21,M,Bengaluru Urban,2023
SYN-C-00001,SYN-P-00770,accused,VYANJANA WADHWA,BALJIWAN CHERIAN,32,F,Mysuru,2021
SYN-C-00002,SYN-P-00553,accused,IKSHITA VASA,,49,F,Bengaluru Urban,2023
SYN-C-00003,SYN-P-00443,accused,EKBAL MANDER,AYAAN VARKEY,51,M,Bengaluru Urban,2020
SYN-C-00003,SYN-P-01142,accused,ARJUN LUTHRA,YATIN SAMA,35,M,Bengaluru Urban,2020
SYN-C-00003,SYN-P-00987,accused,G. SINGHAL,MASON SARAF,42,M,Bengaluru Urban,2020
SYN-C-00004,SYN-P-00447,accused,S. BUMB,NOAH MISHRA,31,M,Bengaluru Urban,2020
SYN-C-00004,SYN-P-00906,accused,RANVIR CHANDA,AARAV DUA,29,M,Bengaluru Urban,2020
SYN-C-00005,SYN-P-00807,accused,SIMON DESHPANDE,,35,M,Mysuru,2020
SYN-C-00006,SYN-P-00201,accused,SAMAKSH GREWAL,FARIQ BHARDWAJ,28,M,Belagavi,2019
SYN-C-00007,SYN-P-00018,accused,J. DORA,,36,M,Kalaburagi,2022
SYN-C-00007,SYN-P-01113,accused,KAI CHAUDHARI,,33,M,Kalaburagi,2022
SYN-C-00008,SYN-P-00943,accused,SAI AGGARWAL,,51,M,Kalaburagi,2020
SYN-C-00008,SYN-P-00322,accused,AMARA MADAN,OLIVER GANESH,31,F,Kalaburagi,2020
SYN-C-00008,SYN-P-00079,accused,MAX KAUL,FARAS RAMACHANDRAN,28,M,Kalaburagi,2020
SYN-C-00009,SYN-P-01155,accused,BHAVINI NARANG,CHRISTOPHER KRISHNA,48,F,Bengaluru Urban,2022
SYN-C-00009,SYN-P-01171,accused,NEEL MANDA,LABAN CHADHA,38,M,Bengaluru Urban,2022
SYN-C-00010,SYN-P-00240,accused,J. KARNIK,DAVID SETTY,38,F,Bengaluru Urban,2020
SYN-C-00010,SYN-P-01332,accused,A. PRAKASH,CHARAN TELLA,24,F,Bengaluru Urban,2020
SYN-C-00011,SYN-P-01545,accused,DANI FARAJ,KRISH SAGAR,29,M,Bengaluru Urban,2020
SYN-C-00012,SYN-P-01616,accused,RAJESHRI CHAND,AARNAV DORA,50,F,Bengaluru Urban,2020
SYN-C-00012,SYN-P-01603,accused,WIDISHA GUHA,INDRAJIT SUBRAMANIAN,43,F,Bengaluru Urban,2020
SYN-C-00012,SYN-P-01239,accused,AARNAV KRISH,ZASHIL BHARDWAJ,31,M,Bengaluru Urban,2020
SYN-C-00012,SYN-P-01639,accused,SOM EKTA,OJAS BARAL,34,F,Bengaluru Urban,2020
SYN-C-00012,SYN-P-01856,accused,R. RASTOGI,,49,F,Bengaluru Urban,2020
SYN-C-00012,SYN-P-00890,accused,FITAN BATH,,42,M,Bengaluru Urban,2020
SYN-C-00012,SYN-P-01658,accused,ETHAN PUROHIT,,24,M,Bengaluru Urban,2020
SYN-C-00013,SYN-P-00346,accused,ROBERT SALVI,,33,M,Bengaluru Urban,2021
SYN-C-00013,SYN-P-00253,accused,V. MENON,WAHAB PANT,48,F,Bengaluru Urban,2021
SYN-C-00014,SYN-P-00125,accused,Y. BANDI,SHIVANSH PATIL,41,M,Bengaluru Urban,2022
SYN-C-00014,SYN-P-00018,accused,DORA JACK,GAURANG DORA,39,M,Bengaluru Urban,2022
