person_id,name,father_name,gender,age,home_district,is_repeat_offender,n_cases
SYN-P-00000,Faqid Rana,Balhaar Wason,M,30,Kalaburagi,False,1
SYN-P-00001,Rajeshri Bhardwaj,Anirudh Chadha,F,33,Mysuru,False,2
SYN-P-00002,Shaurya Boase,Chakradev Samra,M,20,Belagavi,False,1
SYN-P-00003,David Kapoor,Rushil Bawa,M,31,Tumakuru,True,3
SYN-P-00004,Arin Deol,Shaurya Dhawan,M,45,Bengaluru Urban,False,1
SYN-P-00005,Mitesh Golla,Girindra Pradhan,M,35,Mysuru,False,1
SYN-P-00006,Azad Bhasin,Yuvraj Wali,M,52,Tumakuru,False,1
SYN-P-00007,Naksh Shroff,Pratyush Mistry,M,18,Tumakuru,False,1
SYN-P-00008,Gautam Kohli,Mason Vohra,M,32,Tumakuru,True,6
SYN-P-00009,Onveer Sen,Balhaar Dalal,M,37,Tumakuru,False,1
SYN-P-00010,Fitan Oommen,Yash Sama,M,26,Bengaluru Urban,False,2
SYN-P-00011,Balvan Murthy,Parth Taneja,M,48,Tumakuru,False,2
SYN-P-00012,Bakhshi Chander,Warjas Bhattacharyya,M,48,Bengaluru Urban,False,1
SYN-P-00013,Mohammed Sehgal,Reyansh Palan,M,34,Tumakuru,False,1
SYN-P-00014,Vihaan Pant,Dalbir Tak,M,42,Kalaburagi,False,1
SYN-P-00015,Ikbal Mani,Jatin Rao,M,23,Kalaburagi,False,1
SYN-P-00016,Yadavi Buch,Udarsh Ratti,F,21,Mysuru,False,1
SYN-P-00017,Ekapad Sani,Sarthak Parmer,M,49,Tumakuru,False,1
SYN-P-00018,Jack Dora,Gaurang Dora,M,38,Tumakuru,True,6
SYN-P-00019,Jackson Arora,Gavin Lall,M,53,Bengaluru Urban,False,1
SYN-P-00020,Aarnav Dhingra,Qasim Nagar,M,21,Belagavi,False,1
SYN-P-00021,Avi Shan,Rushil Rastogi,M,29,Kalaburagi,False,1
SYN-P-00022,Charles Subramaniam,Azaan Halder,M,39,Tumakuru,False,1
SYN-P-00023,Hemang Sastry,Christopher Oak,M,29,Bengaluru Urban,False,1
SYN-P-00024,Charan Acharya,Chandresh Patla,M,54,Bengaluru Urban,False,1
SYN-P-00025,Balendra Johal,Falan Krishnan,M,54,Belagavi,False,1
SYN-P-00026,Qabil Som,Dalbir Sura,M,20,Belagavi,False,1
SYN-P-00027,Wakeeta Sule,Brijesh Dhawan,F,47,Kalaburagi,False,2
SYN-P-00028,Onveer Lanka,Faris Varty,M,34,Belagavi,False,1
SYN-P-00029,Harshil Wable,Ethan Bala,M,48,Bengaluru Urban,False,1
SYN-P-00030,Chakradev Lal,Fiyaz Parekh,M,45,Bengaluru Urban,False,1
SYN-P-00031,Zayan Narayan,Gunbir Khatri,M,28,Tumakuru,False,1
SYN-P-00032,Ishaan Iyengar,Pranav Balakrishnan,M,53,Tumakuru,False,1
SYN-P-00033,Logan Sodhi,Gunbir Padmanabhan,M,51,Kalaburagi,False,1
SYN-P-00034,Owen Patla,Imaran Chaudry,M,37,Mysuru,False,1
SYN-P-00035,Wahab Hegde,Harsh Subramanian,M,49,Bengaluru Urban,False,1
SYN-P-00036,Wriddhish Padmanabhan,Darpan Rama,M,34,Bengaluru Urban,False,1
SYN-P-00037,William Gokhale,Ojas Chadha,M,44,Mysuru,False,1
SYN-P-00038,Vincent Ratti,Fariq Garde,M,23,Belagavi,False,1
SYN-P-00039,Akshay Dora,Elijah Som,M,54,Kalaburagi,False,1
SYN-P-00040,Faras Deep,Abhimanyu Chauhan,M,25,Tumakuru,False,1
SYN-P-00041,Teerth Hayer,Akshay Krishnamurthy,M,34,Mysuru,False,1
SYN-P-00042,Madhav Thaker,Nicholas Lad,M,22,Mysuru,False,1
SYN-P-00043,Ekaja Bhat,Veer Varughese,F,43,Tumakuru,False,1
SYN-P-00044,Zashil De,Aditya Sarraf,M,49,Mysuru,False,1
SYN-P-00045,Aahana Doctor,Ekavir Solanki,F,28,Belagavi,False,1
SYN-P-00046,Bhavani Nanda,Chatresh Bhandari,F,23,Kalaburagi,False,1
SYN-P-00047,Girish Malhotra,Chandran Tripathi,M,35,Mysuru,False,1
SYN-P-00048,Akshay Bhatnagar,Nicholas Tiwari,M,39,Mysuru,True,6
SYN-P-00049,Lakshit Sethi,Zehaan Kota,M,54,Tumakuru,False,1
SYN-P-00050,Harrison Sem,Sathvik Dara,M,42,Mysuru,False,1
SYN-P-00051,Vaishnavi Mutti,Jai Sangha,F,48,Belagavi,False,3
SYN-P-00052,Hitesh Mitter,Faras Pau,M,40,Kalaburagi,False,1
SYN-P-00053,Lajita Devan,Imaran Chandra,F,23,Belagavi,False,1
SYN-P-00054,Widisha Gaba,Faris Sankar,F,50,Tumakuru,False,1
SYN-P-00055,Omkaar Sama,Pranav Nagar,M,21,Mysuru,False,1
SYN-P-00056,Rajeshri Bahl,Veer Sastry,F,27,Kalaburagi,False,1
SYN-P-00057,Sanaya Narula,Azad Chowdhury,F,30,Mysuru,False,1
SYN-P-00058,Charles Chad,Laban Baral,M,41,Mysuru,False,1
SYN-P-00059,Krishna Dayal,Kai Ravi,M,43,Mysuru,False,2
SYN-P-00060,Yug Narain,Liam Bhandari,M,19,Tumakuru,False,1
SYN-P-00061,Simon Bora,Abhiram Chakrabarti,M,21,Tumakuru,False,1
SYN-P-00062,Benjamin Kapadia,Kevin Dara,M,48,Belagavi,False,1
SYN-P-00063,Aashi Nori,Krish Dayal,F,51,Tumakuru,False,1
SYN-P-00064,Jagdish Choudhary,Karan Bedi,M,41,Belagavi,False,1
SYN-P-00065,Harrison Muni,Harshil Mann,M,28,Belagavi,False,1
SYN-P-00066,Zashil Gokhale,Oscar Badami,M,25,Kalaburagi,False,1
SYN-P-00067,Andrew Aurora,Zayyan Gupta,M,21,Belagavi,False,1
SYN-P-00068,Jason Sekhon,Tarak Talwar,M,40,Belagavi,False,2
SYN-P-00069,Yashica Morar,Ishwar Oommen,F,27,Kalaburagi,False,1
SYN-P-00070,Ekaraj Ravel,Avi Dayal,M,50,Bengaluru Urban,False,1
SYN-P-00071,Bimala Kumer,Finn Bhakta,F,45,Bengaluru Urban,False,1
SYN-P-00072,Rayaan Toor,Jairaj Memon,M,46,Bengaluru Urban,False,2
SYN-P-00073,Victor Goyal,Krish Sehgal,M,35,Mysuru,True,5
SYN-P-00074,Karan Patla,Neel Konda,M,29,Mysuru,False,2
SYN-P-00075,Mohammed Kamdar,Gavin Agarwal,M,30,Tumakuru,False,1
SYN-P-00076,Rayaan Chacko,Liam Thakkar,M,21,Tumakuru,False,2
SYN-P-00077,Jeet Thaman,Chakradev Lalla,M,34,Bengaluru Urban,False,2
SYN-P-00078,Eshana Ratta,Ronith Bajaj,F,19,Tumakuru,False,1
SYN-P-00079,Max Kaul,Faras Ramachandran,M,26,Tumakuru,False,1
SYN-P-00080,Yug Doctor,Elijah Bassi,M,26,Belagavi,False,1
SYN-P-00081,Zayyan Dewan,Ishwar Chada,M,49,Belagavi,True,6
SYN-P-00082,Ansh Deol,Charles Puri,M,20,Mysuru,False,1
SYN-P-00083,Aryan Bahl,Yash Lalla,M,43,Tumakuru,False,1
SYN-P-00084,Vedant Boase,Bachittar Som,M,25,Mysuru,False,1
SYN-P-00085,Baljiwan Lanka,Harshil Kashyap,M,27,Kalaburagi,False,1
SYN-P-00086,Yatin Raja,Wriddhish Mani,M,24,Kalaburagi,False,2
SYN-P-00087,Hardik Brahmbhatt,Noah Kumar,M,50,Kalaburagi,False,1
SYN-P-00088,Ekani Arora,Azaan Sunder,F,30,Mysuru,False,1
SYN-P-00089,Chandran Kalla,Maanav Varty,M,54,Mysuru,False,1
SYN-P-00090,Vincent Shukla,Daniel Iyengar,M,45,Tumakuru,False,1
SYN-P-00091,Brijesh Solanki,Maanav Shanker,M,30,Kalaburagi,False,1
SYN-P-00092,Zehaan Sengupta,Rishi Kadakia,M,40,Bengaluru Urban,False,1
SYN-P-00093,Baljiwan Chana,Karan Parsa,M,30,Kalaburagi,False,1
SYN-P-00094,Yashoda Mammen,Qabil Kashyap,F,35,Bengaluru Urban,False,1
SYN-P-00095,Watika Ramesh,Fariq Aggarwal,F,19,Tumakuru,False,1
SYN-P-00096,Umang Ravi,Ekavir Saha,M,44,Mysuru,False,1
SYN-P-00097,Raghav Mutti,Noah Agarwal,M,52,Belagavi,False,1
SYN-P-00098,Omkaar Rao,Guneet Arora,M,24,Bengaluru Urban,False,2
SYN-P-00099,Jonathan Pradhan,Ronith Ramakrishnan,M,50,Bengaluru Urban,False,1
SYN-P-00100,Pranit Sangha,Arjun Mand,M,23,Belagavi,False,1
SYN-P-00101,Atharv Mangal,Jeet Lata,M,49,Kalaburagi,False,1
SYN-P-00102,Nakul Gupta,Tanish Balakrishnan,M,30,Bengaluru Urban,False,1
SYN-P-00103,Harsh Buch,Samesh Seshadri,M,30,Tumakuru,False,1
SYN-P-00104,Luke Sunder,Devansh Garde,M,32,Mysuru,False,1
SYN-P-00105,Sarthak Oza,Manthan Kumer,M,25,Kalaburagi,False,1
SYN-P-00106,Samaksh Khare,Wyatt Ramesh,M,27,Mysuru,False,1
SYN-P-00107,Fiyaz Edwin,Hemang Tella,M,33,Tumakuru,False,1
SYN-P-00108,Januja Sethi,Umang Sane,F,26,Belagavi,False,1
SYN-P-00109,Gopal Kohli,Gagan Oommen,M,21,Mysuru,False,1
SYN-P-00110,Nathaniel Khare,Kai Jaggi,M,48,Belagavi,False,1
SYN-P-00111,Samuel Rajagopal,Henry Puri,M,35,Belagavi,False,1
SYN-P-00112,Pallavi Bhatia,Liam Parsa,F,23,Tumakuru,False,1
